[1506170661.65]	 data from Arduino: '224\r\n'
[1506170715.17]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170715.18]	 data from Arduino: '224\r\n'
[1506170716.52]	 data from Arduino: '224\r\n'
[1506170716.6]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170716.6]	 data from Arduino: '224\r\n'
[1506170720.44]	 data from Arduino: '224\r\n'
[1506170720.49]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170720.49]	 data from Arduino: '224\r\n'
[1506170721.88]	 data from Arduino: '224\r\n'
[1506170721.93]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170721.93]	 data from Arduino: '224\r\n'
[1506170723.74]	 data from Arduino: '224\r\n'
[1506170723.84]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170723.84]	 data from Arduino: '224\r\n'
[1506170725.17]	 data from Arduino: '224\r\n'
[1506170725.23]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170725.23]	 data from Arduino: '224\r\n'
[1506170726.59]	 data from Arduino: '224\r\n'
[1506170726.64]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170726.64]	 data from Arduino: '224\r\n'
[1506170730.6]	 data from Arduino: '224\r\n'
[1506170730.65]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170730.65]	 data from Arduino: '224\r\n'
[1506170732.13]	 data from Arduino: '224\r\n'
[1506170732.19]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170732.2]	 data from Arduino: '224\r\n'
[1506170733.53]	 data from Arduino: '224\r\n'
[1506170733.58]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170733.58]	 data from Arduino: '224\r\n'
[1506170734.74]	 data from Arduino: '224\r\n'
[1506170734.8]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170734.8]	 data from Arduino: '224\r\n'
[1506170736.04]	 data from Arduino: '224\r\n'
[1506170736.13]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170736.13]	 data from Arduino: '224\r\n'
[1506170737.36]	 data from Arduino: '224\r\n'
[1506170737.43]	 data from Arduino: '224\r\n'
[1506170737.47]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170737.48]	 data from Arduino: '224\r\n'
[1506170740.78]	 data from Arduino: '224\r\n'
[1506170740.89]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170740.89]	 data from Arduino: '224\r\n'
[1506170742.23]	 data from Arduino: '224\r\n'
[1506170742.28]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170742.28]	 data from Arduino: '224\r\n'
[1506170743.48]	 data from Arduino: '224\r\n'
[1506170743.54]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170743.55]	 data from Arduino: '224\r\n'
[1506170744.8]	 data from Arduino: '224\r\n'
[1506170744.86]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170744.86]	 data from Arduino: '224\r\n'
[1506170746.07]	 data from Arduino: '224\r\n'
[1506170746.14]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170746.14]	 data from Arduino: '224\r\n'
[1506170747.47]	 data from Arduino: '224\r\n'
[1506170747.62]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170747.62]	 data from Arduino: '224\r\n'
[1506170750.89]	 data from Arduino: '224\r\n'
[1506170750.97]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170750.97]	 data from Arduino: '224\r\n'
[1506170752.19]	 data from Arduino: '224\r\n'
[1506170752.26]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170752.26]	 data from Arduino: '224\r\n'
[1506170753.43]	 data from Arduino: '224\r\n'
[1506170753.55]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170753.56]	 data from Arduino: '224\r\n'
[1506170754.85]	 data from Arduino: '224\r\n'
[1506170754.9]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170754.9]	 data from Arduino: '224\r\n'
[1506170756.12]	 data from Arduino: '224\r\n'
[1506170756.18]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170756.18]	 data from Arduino: '224\r\n'
[1506170757.62]	 data from Arduino: '224\r\n'
[1506170757.67]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170757.67]	 data from Arduino: '224\r\n'
[1506170760.97]	 data from Arduino: '224\r\n'
[1506170761.07]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170761.07]	 data from Arduino: '224\r\n'
[1506170762.39]	 data from Arduino: '224\r\n'
[1506170762.52]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170762.52]	 data from Arduino: '224\r\n'
[1506170764.06]	 data from Arduino: '224\r\n'
[1506170764.12]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170764.12]	 data from Arduino: '224\r\n'
[1506170765.47]	 data from Arduino: '224\r\n'
[1506170765.53]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170765.53]	 data from Arduino: '224\r\n'
[1506170767.02]	 data from Arduino: '224\r\n'
[1506170767.07]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170767.07]	 data from Arduino: '224\r\n'
[1506170771.29]	 data from Arduino: '224\r\n'
[1506170771.3]	 data from Arduino: '224\r\n'
[1506170771.35]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170771.35]	 data from Arduino: '224\r\n'
[1506170775.56]	 data from Arduino: '224\r\n'
[1506170775.62]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170775.62]	 data from Arduino: '224\r\n'
[1506170780.78]	 data from Arduino: '224\r\n'
[1506170780.84]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170780.84]	 data from Arduino: '224\r\n'
[1506170782.23]	 data from Arduino: '224\r\n'
[1506170782.28]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170782.28]	 data from Arduino: '224\r\n'
[1506170783.52]	 data from Arduino: '224\r\n'
[1506170783.7]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170783.7]	 data from Arduino: '224\r\n'
[1506170785.05]	 data from Arduino: '224\r\n'
[1506170785.11]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170785.11]	 data from Arduino: '224\r\n'
[1506170786.64]	 data from Arduino: '224\r\n'
[1506170786.69]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170786.7]	 data from Arduino: '224\r\n'
[1506170790.57]	 data from Arduino: '224\r\n'
[1506170790.62]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170790.62]	 data from Arduino: '224\r\n'
[1506170791.96]	 data from Arduino: '224\r\n'
[1506170792.05]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170792.05]	 data from Arduino: '224\r\n'
[1506170793.22]	 data from Arduino: '224\r\n'
[1506170793.3]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170793.31]	 data from Arduino: '224\r\n'
[1506170794.46]	 data from Arduino: '224\r\n'
[1506170794.64]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170794.64]	 data from Arduino: '224\r\n'
[1506170795.99]	 data from Arduino: '224\r\n'
[1506170796.04]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170796.04]	 data from Arduino: '224\r\n'
[1506170797.23]	 data from Arduino: '224\r\n'
[1506170797.33]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170797.33]	 data from Arduino: '224\r\n'
[1506170801.12]	 data from Arduino: '224\r\n'
[1506170801.18]	 data from Arduino: '224\r\n'
[1506170801.23]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170801.24]	 data from Arduino: '224\r\n'
[1506170820.27]	 data from Arduino: '224\r\n'
[1506170822.23]	 data from Arduino: '224\r\n'
[1506170822.26]	 data from Arduino: '224\r\n'
[1506170827.37]	 data from Arduino: '224\r\n'
